"","X.1","X","id","name","latitude","longitude","latest","value"
"23","23","159","225715","Brent - Neasden Lane","51.552656","-0.248774","2024-12-08T19:00:00Z","5.9"
"24","24","161","225719","Brent - John Keble Primary School","51.537799","-0.247793","2024-12-08T19:00:00Z","3.6"
"25","25","163","225723","Brent - Ikea","51.552476","-0.258089","2024-12-08T19:00:00Z","6"
"26","26","164","225725","Bromley - Harwood Avenue","51.405546","0.018882","2024-12-08T19:00:00Z","12.6"
"27","27","165","225727","Barking and Dagenham - Scrattons Farm","51.529389","0.132857","2024-12-08T19:00:00Z","4.4"
"28","28","166","225730","Enfield - Prince of Wales School","51.66864334727","-0.02200720557","2024-12-08T19:00:00Z","2.9"
"29","29","168","225733","Ealing - Hanger Lane Gyratory","51.53085","-0.292488","2024-12-08T19:00:00Z","14.6"
"30","30","169","225734","Croydon - Purley Way A23","51.3622305655403","-0.117604507351392","2024-12-08T19:00:00Z","14.5"
"31","31","171","225736","Enfield - Bush Hill Park","51.6450367266602","-0.0661800662229116","2024-12-08T19:00:00Z","6"
"32","32","173","225741","Ealing - Acton Vale ","51.5038527919816","-0.254668101620372","2024-12-08T19:00:00Z","9.3"
"33","33","176","225747","Greenwich - A206 Burrage Grove","51.490532","0.074003","2024-12-08T19:00:00Z","6.8"
"34","34","177","225751","Greenwich - Plumstead High Street","51.486957","0.095111","2024-12-08T19:00:00Z","-12.1"
"35","35","179","225755","Greenwich - John Harrison Way","51.4937746695818","0.0107796237032558","2024-12-08T19:00:00Z","2.2"
"36","36","182","225761","Greenwich - Woolwich Flyover","51.486884","0.017901","2024-12-08T19:00:00Z","15"
"37","37","183","225763","Havering - Rainham","51.520787459334","0.205460705694044","2024-12-08T19:00:00Z","1.7"
"38","38","185","225765","Lewisham - New Cross","51.474954","-0.039641","2024-12-08T19:00:00Z","3"
"39","39","186","225766","Lewisham - Deptford","51.4795312838203","-0.0252606031340197","2024-12-08T19:00:00Z","9.8"
"40","40","187","225767","Lambeth - Brixton Road","51.464113541162","-0.11458102695123","2024-12-08T19:00:00Z","1.3"
"41","41","188","225769","Greenwich - Fiveways Sidcup Rd A20","51.4346627060562","0.0642224671704697","2024-12-08T19:00:00Z","5.9"
"42","42","194","225776","Lewisham - Loampit Vale","51.4646910611736","-0.0160682432041527","2024-12-08T19:00:00Z","4"
"43","43","198","225782","Islington - Arsenal","51.557895","-0.106989","2024-12-08T19:00:00Z","5.6"
"44","44","202","225787","Southwark - Tower Bridge Road","51.5013906712066","-0.0782034373606952","2024-12-08T19:00:00Z","5.1"
"45","45","203","225789","Havering - Romford","51.572976","0.179079","2024-12-08T19:00:00Z","6"
"46","46","205","225791","Islington - Holloway Road","51.555378","-0.116146","2024-12-08T19:00:00Z","8.7"
"47","47","208","225794","Southwark - Lower Road","51.4965604167321","-0.0530504472531612","2024-12-08T19:00:00Z","4.2"
"48","48","209","225796","Greenwich - Falconwood FDMS","51.4563","0.085606","2024-12-08T19:00:00Z","1.5"
"49","49","210","225797","Greenwich - Westhorne Avenue","51.456357","0.040725","2024-12-08T19:00:00Z","37.7"
"50","50","211","225800","Greenwich - Trafalgar Road (Hoskins St)","51.4839072533485","0.000407396935849736","2024-12-08T19:00:00Z","3.3"
"51","51","212","225801","Westminster - Elizabeth Bridge","51.4922482333024","-0.147114752900186","2024-12-08T19:00:00Z","5"
"52","52","213","225802","Southwark - Vicarage Grove","51.4735803479615","-0.0877818536754426","2024-12-08T19:00:00Z","6.3"
"53","53","214","225803","Lewisham - Honor Oak Park","51.4496728960354","-0.0374153592115306","2024-12-08T19:00:00Z","6.1"
"54","54","216","225805","Wandsworth - Lavender Hill (Clapham Jct)","51.4636903568111","-0.166713485994806","2024-12-08T19:00:00Z","2.2"
"55","55","218","225807","Westminster - Covent Garden","51.5119769825798","-0.12162720332856","2024-12-08T19:00:00Z","13"
"56","56","228","225839","Wandsworth - Battersea","51.4794395281222","-0.141786953606306","2024-12-08T19:00:00Z","11"
"57","57","232","225848","Westminster - Oxford Street","51.5139287404213","-0.152792701881935","2024-12-08T19:00:00Z","11"
"58","58","233","225850","Wandsworth - Tooting High Street","51.429331","-0.166524","2024-12-08T19:00:00Z","21"
"59","59","234","225851","Wandsworth - Putney","51.4650325059122","-0.215824580947572","2024-12-08T19:00:00Z","10"
"60","60","235","225852","Wandsworth - Putney High Street","51.463429","-0.215871","2024-12-08T19:00:00Z","10"
"61","61","236","227058","Newham - Britannia Gate","51.503858","0.020574415","2024-12-08T04:00:00Z","4"
"62","62","239","230827","Southwark - South Circular Road","51.442633","-0.077653974","2024-12-08T19:00:00Z","4.4"
"63","63","240","270693","Waterloo Place (The Crown Estate)","51.5075819137762","-0.133068372704093","2024-12-08T19:00:00Z","28.7"
"64","64","242","270712","Lewisham - Laurence House Catford","51.4447808","-0.0221832","2024-12-08T20:00:00Z","14.5"
"65","65","250","1235983","Islington","51.5465402591367","-0.0907452421552941","2024-12-08T21:00:00Z","2.73958333333333"
"66","66","251","1462792","UAL Creative Computing Institute, Greencoat Building","51.4723090811869","-0.0860062392925502","2024-12-08T21:00:00Z","2.22358336051305"
"67","67","252","2453304","Marylebone Road","51.52224","-0.15657","2024-12-08T21:00:00Z","4.58402778704961"
"68","68","253","2453309","Honor Oak Park","51.451186","-0.039428","2024-12-08T21:00:00Z","3.46666665871938"
"69","69","254","2453312","Honor Oak Park","51.451186","-0.039428","2024-12-08T21:00:00Z","10.547222216924"
"70","70","255","2453319","Marylebone Road","51.52224","-0.15657","2024-12-08T21:00:00Z","10.8583331902822"
"71","71","256","2659910","Borehamwood Meadow Park - UKA00644","51.6612289992477","-0.270671000067318","2024-12-08T19:00:00Z","3.06"
"72","72","262","2984093","Maiden Lane, London","51.5423","-0.1285","2024-12-08T21:00:00Z","1.96934523185094"
"73","73","263","3039088","Farthing downs","51.3082","-0.1365","2024-12-08T21:00:00Z","4.59504163265228"
"74","74","264","3053804","Twickenham","51.4453484391268","-0.334872116489035","2024-12-08T21:00:00Z","8014.64713541667"
"75","75","269","3057945","Harlesden LP2","51.53469","-0.23755","2024-12-08T20:56:33Z","7.08"
"76","76","270","3057946","Harlesden HP2","51.53356","-0.24096","2024-12-08T21:00:23Z","6.27"
"77","77","271","3057947","Harlesden HP1","51.53505","-0.24312","2024-12-08T20:50:14Z","6.79"
"78","78","272","3057948","Harlesden LP1","51.53536","-0.24114","2024-12-08T20:49:40Z","4.41"
"79","79","273","3079185","Stondon Walk","51.531674","0.045623","2024-12-08T21:00:00Z","0.0665000006556511"
"80","80","275","3261167","Primrose Hill","51.5395","-0.1519","2024-12-08T21:00:00Z","0.127833331624667"
"81","81","276","3278199","Perivale, Buckingham Ave","51.54084","-0.321103","2024-12-08T21:00:00Z","4.43350005149841"
