"","X","id","name","latestDateUTC","value","latitude","longitude"
"47",1,11599581,"pm25 µg/m³","2024-12-17T06:57:28Z",16.1,51.42551,-0.16475
"48",1,11599582,"pm25 µg/m³","2024-12-17T07:32:48Z",12.87,51.44393,-0.168
"49",1,11599596,"pm25 µg/m³","2024-12-17T07:58:32Z",12.44,51.44477,-0.34011
"50",1,11599580,"pm25 µg/m³","2024-12-17T07:55:44Z",9.01,51.46362,-0.18639
"51",1,11599587,"pm25 µg/m³","2024-12-17T07:49:37Z",14.85,51.47617,-0.14802
"52",1,11599594,"pm25 µg/m³","2024-12-17T07:58:24Z",6.33,51.46833,-0.26648
"53",1,11599592,"pm25 µg/m³","2024-12-17T06:54:44Z",14.83,51.4611,-0.21683
"54",1,11599583,"pm25 µg/m³","2024-12-17T07:35:36Z",13.48,51.48125,-0.13843
"55",1,11599575,"pm25 µg/m³","2024-12-17T07:03:06Z",12.19,51.45935,-0.30416
"56",1,11599595,"pm25 µg/m³","2024-12-17T08:03:46Z",6.16,51.47381,-0.2493
"57",1,11599589,"pm25 µg/m³","2024-12-17T07:46:03Z",8.18,51.413,-0.36031
"58",1,11599578,"pm25 µg/m³","2024-12-17T07:45:31Z",11.47,51.47692,-0.14587
"59",1,11599593,"pm25 µg/m³","2024-12-17T07:58:08Z",16.05,51.45099,-0.35786
"60",1,11599585,"pm25 µg/m³","2024-12-17T07:48:12Z",6.87,51.42923,-0.35474
"61",1,11599598,"pm25 µg/m³","2024-12-17T07:57:00Z",9.11,51.46899,-0.27589
"62",1,11599597,"pm25 µg/m³","2024-12-17T07:21:09Z",12.49,51.46324,-0.28577
"63",1,11599573,"pm25 µg/m³","2024-12-17T06:45:50Z",10.37,51.44638,-0.32848
"64",1,11599584,"pm25 µg/m³","2024-12-17T07:49:40Z",14.84,51.48261,-0.28703
"65",1,11599599,"pm25 µg/m³","2024-12-17T08:05:01Z",13.41,51.45288,-0.36178
"66",1,11599576,"pm25 µg/m³","2024-12-17T07:37:01Z",19.92,51.46046,-0.32262
"67",1,11599588,"pm25 µg/m³","2024-12-17T07:56:13Z",18.52,51.45374,-0.34524
"68",1,11599586,"pm25 µg/m³","2024-12-17T08:05:05Z",4.49,51.44966,-0.23949
"69",1,11599574,"pm25 µg/m³","2024-12-17T07:05:52Z",12.15,51.45555,-0.31041
"70",1,11599577,"pm25 µg/m³","2024-12-17T07:05:16Z",16.25,51.46399,-0.3016
"71",1,11599590,"pm25 µg/m³","2024-12-17T06:48:16Z",13.38,51.45474,-0.29799
"72",1,11599579,"pm25 µg/m³","2024-12-17T07:33:39Z",17.51,51.45701,-0.19426
"73",1,11599591,"pm25 µg/m³","2024-12-17T07:48:37Z",12.49,51.44279,-0.34248
"74",1,11599950,"pm25 µg/m³","2024-12-17T04:17:05Z",9.34,51.43605,-0.31896
"75",1,11599951,"pm25 µg/m³","2024-12-17T07:19:56Z",12.46,51.42603,-0.33907
"76",1,11599949,"pm25 µg/m³","2024-12-17T06:57:33Z",12.57,51.45609,-0.20085
